insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-3efc6521-cff4-4597-96db-9f71e98495ef,q3iyptkj3nhk,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:25.577035108Z,plot_hist,vijaysai,us-central1,cloud_function,DEBUG,"Function execution took 1861 ms, finished with status code: 200",2020-12-02T22:31:17.110495648Z,projects/vijaysai/traces/6657901d46c4f272283c381f2af0d55d
000000-e481054f-8791-423e-8be4-9f6d1d7f562f,q3iyptkj3nhk,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:25.577035108Z,plot_hist,vijaysai,us-central1,cloud_function,DEBUG,Function execution started,2020-12-02T22:31:15.250003044Z,projects/vijaysai/traces/6657901d46c4f272283c381f2af0d55d
000000-db7ff4ab-3822-4540-bf79-fa97762d4cc2,q3iymq93o8wd,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:29:50.775297513Z,plot_hist,vijaysai,us-central1,cloud_function,DEBUG,"Function execution took 3528 ms, finished with status code: 200",2020-12-02T22:29:44.171025676Z,projects/vijaysai/traces/582d8ca011d279a1095e5a70bdc012a6
000000-83fe0a9d-bb22-4a35-acf1-d7628ef36994,q3iymq93o8wd,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:29:50.775297513Z,plot_hist,vijaysai,us-central1,cloud_function,DEBUG,Function execution started,2020-12-02T22:29:40.643341405Z,projects/vijaysai/traces/582d8ca011d279a1095e5a70bdc012a6
000000-ecef8459-8b55-4a71-92a8-02632c29301b,q3iyk90pt5xr,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:17:45.582687286Z,plot_hist,vijaysai,us-central1,cloud_function,DEBUG,"Function execution took 4929 ms, finished with status code: 200",2020-12-02T22:17:39.385770593Z,projects/vijaysai/traces/c1f0fa6b18bd4ef4fddb93190f686153
000000-2def6b16-032f-473e-ad91-7b0dbb84aed7,q3iyk90pt5xr,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:17:45.582687286Z,plot_hist,vijaysai,us-central1,cloud_function,,[2020-12-02 22:17:38 +0000] [10] [INFO] Booting worker with pid: 10,2020-12-02T22:17:38.556Z,projects/vijaysai/traces/c1f0fa6b18bd4ef4fddb93190f686153
000001-034555ae-e762-4167-b5b4-fb2cabdabca1,q3iyk90pt5xr,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:17:45.582687286Z,plot_hist,vijaysai,us-central1,cloud_function,,[2020-12-02 22:17:38 +0000] [1] [INFO] Using worker: threads,2020-12-02T22:17:38.495Z,projects/vijaysai/traces/c1f0fa6b18bd4ef4fddb93190f686153
000000-7697c8bc-ebbf-48f3-a0d0-da44bc3a3fbe,q3iyk90pt5xr,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:17:45.582687286Z,plot_hist,vijaysai,us-central1,cloud_function,,[2020-12-02 22:17:38 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1),2020-12-02T22:17:38.495Z,projects/vijaysai/traces/c1f0fa6b18bd4ef4fddb93190f686153
000000-43343ff4-9e60-4b26-b109-920e132a8da3,q3iyk90pt5xr,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:17:45.582687286Z,plot_hist,vijaysai,us-central1,cloud_function,,[2020-12-02 22:17:38 +0000] [1] [INFO] Starting gunicorn 20.0.4,2020-12-02T22:17:38.494Z,projects/vijaysai/traces/c1f0fa6b18bd4ef4fddb93190f686153
000000-dca7d7e9-7fef-4904-8ca1-c3e6b449b402,q3iyk90pt5xr,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:17:45.582687286Z,plot_hist,vijaysai,us-central1,cloud_function,,"OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k",2020-12-02T22:17:34.841Z,projects/vijaysai/traces/c1f0fa6b18bd4ef4fddb93190f686153
000000-e126cfe8-dd0b-4b92-a68e-a54182382976,q3iyk90pt5xr,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:17:45.582687286Z,plot_hist,vijaysai,us-central1,cloud_function,DEBUG,Function execution started,2020-12-02T22:17:34.457733181Z,projects/vijaysai/traces/c1f0fa6b18bd4ef4fddb93190f686153
000000-65e68f88-c863-46a5-b5ea-e9f4f57f8a48,81gy1x2gq6xv,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:02:34.675342846Z,plot_hist,vijaysai,us-central1,cloud_function,DEBUG,"Function execution took 7972 ms, finished with status code: 200",2020-12-02T22:02:31.581308450Z,projects/vijaysai/traces/02fa7699c7dcc144e6ce2430c301a921
000000-e464db1e-60b2-43b2-971f-92e65b0d6f3c,81gy1x2gq6xv,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:02:34.675342846Z,plot_hist,vijaysai,us-central1,cloud_function,,[2020-12-02 22:02:30 +0000] [11] [INFO] Booting worker with pid: 11,2020-12-02T22:02:30.616Z,projects/vijaysai/traces/02fa7699c7dcc144e6ce2430c301a921
000000-d6cbb59d-b83b-411b-854a-e444b007b8f6,81gy1x2gq6xv,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:02:34.675342846Z,plot_hist,vijaysai,us-central1,cloud_function,,[2020-12-02 22:02:30 +0000] [1] [INFO] Using worker: threads,2020-12-02T22:02:30.548Z,projects/vijaysai/traces/02fa7699c7dcc144e6ce2430c301a921
000000-67ae020e-c279-496e-9f5e-709167c8badf,81gy1x2gq6xv,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:02:34.675342846Z,plot_hist,vijaysai,us-central1,cloud_function,,[2020-12-02 22:02:30 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1),2020-12-02T22:02:30.547Z,projects/vijaysai/traces/02fa7699c7dcc144e6ce2430c301a921
