insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-6536d79f-50e5-4e00-8e25-2e6597529f3f,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,DEBUG,"Function execution took 3683 ms, finished with status code: 200",2020-12-02T22:31:15.206782415Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000000-f65f0aaa-3356-4bed-8e82-2f2db6f3a15d,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,,[nltk_data]   Unzipping tokenizers/punkt.zip.,2020-12-02T22:31:14.515Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000000-f50789f2-3afd-4148-b590-4cb227f3b8aa,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,,[nltk_data] Downloading package punkt to /root/nltk_data...,2020-12-02T22:31:13.959Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000000-743e0025-7344-4048-b713-be59f12faca9,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,,[2020-12-02 22:31:13 +0000] [6] [INFO] Booting worker with pid: 6,2020-12-02T22:31:13.799Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000001-c9ddf52a-05fd-433f-b56a-8934a99e43cd,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,,[2020-12-02 22:31:13 +0000] [1] [INFO] Using worker: threads,2020-12-02T22:31:13.749Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000000-5f9b1433-a32f-4b40-82ac-b4b8b6631136,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,,[2020-12-02 22:31:13 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1),2020-12-02T22:31:13.749Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000000-c6dc199c-c809-47da-8a45-b41eae382501,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,,[2020-12-02 22:31:13 +0000] [1] [INFO] Starting gunicorn 20.0.4,2020-12-02T22:31:13.748Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000000-ca828528-3e20-4bc9-a884-abd420633c73,2zz0yf361iwu,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:31:22.289091218Z,sent_freq,vijaysai,us-central1,cloud_function,DEBUG,Function execution started,2020-12-02T22:31:11.524478747Z,projects/vijaysai/traces/6e180fe1c92a122d9fc02a9ddfd4df2a
000000-79b87fe9-4d0e-4398-98cd-d395a141c1ae,rcxm6emmor39,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:29:41.751901368Z,sent_freq,vijaysai,us-central1,cloud_function,DEBUG,"Function execution took 9720 ms, finished with status code: 200",2020-12-02T22:29:40.546104802Z,projects/vijaysai/traces/35abb17093d0b1ca867a8864289481f3
000000-2b04d3e9-9609-4484-a136-849453ff3230,rcxm6emmor39,projects/vijaysai/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-12-02T22:29:41.751901368Z,sent_freq,vijaysai,us-central1,cloud_function,,[nltk_data]   Package punkt is already up-to-date!,2020-12-02T22:29:31.131Z,projects/vijaysai/traces/35abb17093d0b1ca867a8864289481f3
